;std_e;std_n;std_u;rms_e;rms_n;rms_u;rms_2d;rms_3d;CEP50;hdop;vdop
LS;0,41927856422128146;0,6810371146722481;2,6877765472595025;0,42137812715385803;1,1634192973695918;2,859330730877174;1,237377867724992;3,115586014873324;1,03114822310416;2,44299923399002;1,2046669972978956
MMSE Linear;0,3027496069999667;0,48401095405932065;3,116240055195287;0,3029053517277728;1,0755960472398463;3,1323835884974933;1,11743389466371;3,3257308150888796;0,9311949122197583;0,4516367640652189;0,32563636862327694
